observation_id,observed_on,created_at,quality_grade,place_guess,latitude,longitude,taxon_id,scientific_name,preferred_common_name,rank,iconic_taxon_name,observer_login,uri,photo_url,source
357531064,2026-05-02,2026-05-02T11:46:05-03:00,research,"V9410 Ushuaia, Tierra del Fuego, Argentina",-54.82394731,-68.35572463,447545,Nothofagus betuloides,Magellanic beech,species,Plantae,marreginas,https://www.inaturalist.org/observations/357531064,https://inaturalist-open-data.s3.amazonaws.com/photos/652115341/medium.jpg,iNaturalist / ArgentiNat API: observations
352437308,2026-04-22,2026-04-23T22:36:37-03:00,research,"San Luis, AR",-32.2489632458,-66.9633778668,482060,Cyclolepis genistoides,,species,Plantae,siemprevivanature,https://www.inaturalist.org/observations/352437308,https://inaturalist-open-data.s3.amazonaws.com/photos/643263881/medium.jpg,iNaturalist / ArgentiNat API: observations
358085328,2026-05-03,2026-05-03T19:20:39-03:00,research,"Colón, Entre Ríos, Argentina",-32.2636545639,-58.1205611389,563934,Baccharis dracunculifolia,,species,Plantae,alejandra43579,https://www.inaturalist.org/observations/358085328,https://static.inaturalist.org/photos/653183111/medium.jpg,iNaturalist / ArgentiNat API: observations
357901680,2026-05-03,2026-05-03T10:53:08-03:00,research,"Camino Parque Centenario 2072, B1896 Villa Elisa, Provincia de Buenos Aires, Argentina",-34.86201596,-58.06755933,866204,Grindelia pulchella,,species,Plantae,emil_facundo,https://www.inaturalist.org/observations/357901680,https://inaturalist-open-data.s3.amazonaws.com/photos/652833102/medium.jpg,iNaturalist / ArgentiNat API: observations
348682060,2026-04-09,2026-04-10T06:55:55-03:00,research,"Sebastián Elcano 630-700, B1641 Acassuso, Provincia de Buenos Aires, Argentina",-34.471007,-58.4947342,584095,Dolichandra unguis-cati,Catclaw vine,species,Plantae,verdecernativo,https://www.inaturalist.org/observations/348682060,https://static.inaturalist.org/photos/635959718/medium.jpg,iNaturalist / ArgentiNat API: observations
347887389,2026-04-05,2026-04-06T16:16:36-03:00,research,"San Javier, Córdoba, Argentina",-32.1435489881,-65.0449519374,543076,Nierembergia linariifolia,dwarf cupflower,species,Plantae,guillenotario,https://www.inaturalist.org/observations/347887389,https://inaturalist-open-data.s3.amazonaws.com/photos/634377505/medium.jpg,iNaturalist / ArgentiNat API: observations
334973769,2026-01-16,2026-01-16T16:00:47-03:00,research,"RG8H+RV, X5864 Villa Rumipal, Córdoba, Argentina",-32.1836361111,-64.4713694444,525588,Modiolastrum gilliesii,,species,Plantae,mdnijamin,https://www.inaturalist.org/observations/334973769,https://static.inaturalist.org/photos/608433033/medium.jpg,iNaturalist / ArgentiNat API: observations
357203952,2026-05-01,2026-05-01T12:46:42-03:00,research,"G8QR+3G, Santa Ana de los Guácaras, Corrientes, Argentina",-27.4646466667,-58.65831,280109,Campuloclinium macrocephalum,Pompom Weed,species,Plantae,maximo_alexis,https://www.inaturalist.org/observations/357203952,https://inaturalist-open-data.s3.amazonaws.com/photos/651475235/medium.jpg,iNaturalist / ArgentiNat API: observations
357287806,2026-05-01,2026-05-01T17:02:24-03:00,research,"Concordia, Entre Ríos, Argentina",-31.3710861111,-58.0607194444,460752,Allophylus edulis,cocum,species,Plantae,ariantonio74,https://www.inaturalist.org/observations/357287806,https://inaturalist-open-data.s3.amazonaws.com/photos/651637939/medium.jpg,iNaturalist / ArgentiNat API: observations
349617256,2026-04-13,2026-04-13T18:14:42-03:00,research,"Ushuaia, Tierra del Fuego, Argentina",-54.7874725651,-68.3938407898,1138435,Armeria curvifolia,Curved-leaved thrift,species,Plantae,zorflor,https://www.inaturalist.org/observations/349617256,https://inaturalist-open-data.s3.amazonaws.com/photos/637798053/medium.jpg,iNaturalist / ArgentiNat API: observations
356208776,2026-04-28,2026-04-28T16:17:21-03:00,research,"Gualeguaychú, Entre Ríos, Argentina",-32.9901607558,-58.5435063019,424164,Jaborosa runcinata,,species,Plantae,aguscolla,https://www.inaturalist.org/observations/356208776,https://inaturalist-open-data.s3.amazonaws.com/photos/649588776/medium.jpg,iNaturalist / ArgentiNat API: observations
358074049,2026-05-03,2026-05-03T18:47:10-03:00,research,"Villa Elisa, Provincia de Buenos Aires, Argentina",-34.8700927534,-58.07371217,346173,Salvia guaranitica,Anise-scented sage,species,Plantae,eckerd,https://www.inaturalist.org/observations/358074049,https://inaturalist-open-data.s3.amazonaws.com/photos/653160260/medium.jpg,iNaturalist / ArgentiNat API: observations
347941996,2026-04-04,2026-04-06T20:06:15-03:00,research,"Parque Nacional Lihué Calel, La Pampa, Argentina",-38.0053902,-65.576475,55405,Petunia axillaris,large white petunia,species,Plantae,danieloscarmolina,https://www.inaturalist.org/observations/347941996,https://inaturalist-open-data.s3.amazonaws.com/photos/634486631/medium.jpg,iNaturalist / ArgentiNat API: observations
354699070,2026-04-26,2026-04-26T17:10:22-03:00,research,"Parque Nacional Nahuel Huapi, Av. San Martín 24 - San Carlos de Bariloche R8400ALN, Río Negro, Argentina",-41.3538540997,-71.7483057,429196,Mutisia spinosa,black queen,species,Plantae,gnearns,https://www.inaturalist.org/observations/354699070,https://inaturalist-open-data.s3.amazonaws.com/photos/647018324/medium.jpg,iNaturalist / ArgentiNat API: observations
344921904,2026-03-23,2026-03-24T13:45:19-03:00,research,"Islas del Ibicuy, Entre Ríos, Argentina",-33.4980972222,-58.7837055556,867130,Lycium boerhaviifolium,desert plum,species,Plantae,fchieffo,https://www.inaturalist.org/observations/344921904,https://inaturalist-open-data.s3.amazonaws.com/photos/628504165/medium.jpg,iNaturalist / ArgentiNat API: observations
358049281,2026-05-03,2026-05-03T17:37:21-03:00,research,"Triunvirato 7934, B1682 Billinghurst, Provincia de Buenos Aires, Argentina",-34.5707778,-58.5881333,75727,Baccharis glutinosa,marsh baccharis,species,Plantae,franco_montano,https://www.inaturalist.org/observations/358049281,https://inaturalist-open-data.s3.amazonaws.com/photos/653112646/medium.jpg,iNaturalist / ArgentiNat API: observations
358431264,2026-05-04,2026-05-04T19:00:33-03:00,research,"Chacabuco, AR-SL, AR",-32.6363538833,-64.9516470333,528837,Baccharis articulata,,species,Plantae,hugoalbertovalderrey,https://www.inaturalist.org/observations/358431264,https://inaturalist-open-data.s3.amazonaws.com/photos/653864553/medium.jpg,iNaturalist / ArgentiNat API: observations
347843572,2026-03-13,2026-04-06T13:28:46-03:00,research,"Huiliches Department, Neuquén Province, Argentina",-39.7445745347,-71.5223162048,126404,Araucaria araucana,monkey-puzzle,species,Plantae,jimmylegs,https://www.inaturalist.org/observations/347843572,https://inaturalist-open-data.s3.amazonaws.com/photos/634275665/medium.jpg,iNaturalist / ArgentiNat API: observations
354682462,2026-04-26,2026-04-26T16:49:45-03:00,research,"Neuquén, AR",-40.1316968818,-71.3726120281,823355,Adesmia boronioides,,species,Plantae,leandro2020,https://www.inaturalist.org/observations/354682462,https://inaturalist-open-data.s3.amazonaws.com/photos/646981521/medium.jpg,iNaturalist / ArgentiNat API: observations
358176843,2026-05-02,2026-05-04T01:01:58-03:00,research,Argentina,-26.482440822,-66.1013989399,870252,Trichocereus terscheckii,Argentine Saguaro,species,Plantae,vicogm,https://www.inaturalist.org/observations/358176843,https://inaturalist-open-data.s3.amazonaws.com/photos/653370139/medium.jpg,iNaturalist / ArgentiNat API: observations
358028174,2026-05-03,2026-05-03T16:40:27-03:00,research,"Chamical, La Rioja, AR",-30.48257,-66.2803583333,539113,Lycium cestroides,Herzog cestrum,species,Plantae,gerrojas_rojas,https://www.inaturalist.org/observations/358028174,https://static.inaturalist.org/photos/653072067/medium.jpg,iNaturalist / ArgentiNat API: observations
358010310,2026-05-03,2026-05-03T15:53:30-03:00,research,"Los Jazmines, 9 de Julio, Buenos Aires Province, AR",-35.4901583333,-60.8635633333,544478,Sambucus australis,,species,Plantae,franciscorastelli,https://www.inaturalist.org/observations/358010310,https://inaturalist-open-data.s3.amazonaws.com/photos/653037796/medium.jpg,iNaturalist / ArgentiNat API: observations
352465226,2026-04-22,2026-04-24T00:23:24-03:00,research,"Rivadavia, Mendoza, Argentina",-33.3098301806,-68.5023122556,79359,Thymophylla pentachaeta,Parralena,species,Plantae,quentinvdm,https://www.inaturalist.org/observations/352465226,https://inaturalist-open-data.s3.amazonaws.com/photos/643307657/medium.jpg,iNaturalist / ArgentiNat API: observations
345394297,2026-03-26,2026-03-26T22:25:12-03:00,research,"Buenos Aires, CABA, AR",-34.537,-58.4446216667,557627,Eryngium horridum,,species,Plantae,brnhn,https://www.inaturalist.org/observations/345394297,https://inaturalist-open-data.s3.amazonaws.com/photos/629447889/medium.jpg,iNaturalist / ArgentiNat API: observations
358086047,2026-05-02,2026-05-03T19:22:44-03:00,research,"Gral. Acha, La Pampa, Argentina",-37.3787589,-64.6036162,427727,Glandularia tenera,Latin American Mock Vervain,species,Plantae,danieloscarmolina,https://www.inaturalist.org/observations/358086047,https://inaturalist-open-data.s3.amazonaws.com/photos/653184310/medium.jpg,iNaturalist / ArgentiNat API: observations
358327611,2026-05-03,2026-05-04T13:19:03-03:00,research,"Villa Elisa, Provincia de Buenos Aires, Argentina",-34.870624445,-58.0754619298,484056,Baccharis notosergila,,species,Plantae,martin_arregui,https://www.inaturalist.org/observations/358327611,https://inaturalist-open-data.s3.amazonaws.com/photos/653665785/medium.jpg,iNaturalist / ArgentiNat API: observations
